"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"RM (%)"	"Rend. éché. - Marché (%)"	"Exclu de la facturation"
"TERREBONNE ICS 4.2%15DC10"	""	"Q72120"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,375"	"102,375"	"102,375"	"CAD"	"4,10"	"1,494209"	"Non"
"TERREBONNE ICS 4.25%5SP11"	""	"Q72063"	"Obligations municipales & para-gouvernementales"	"2601411"	"103,707"	"103,707"	"103,707"	"CAD"	"4,10"	"1,896940"	"Non"
"TERREBONNE ICS 4.45%5DC15"	""	"Q72170"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,086"	"104,086"	"104,086"	"CAD"	"4,28"	"3,667969"	"Non"
"TERUMO CORP-UNSPON ADR"	"TRUMY"	"660983"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"112,600"	"USD"	"n/d"	""	"Non"
"TESCO CORPORATION"	"TEO"	"660885"	"Actions ordinaires"	"315"	"13,590"	"13,600"	"13,590"	"USD"	"n/d"	""	"Non"
"TESCO PLC SPN/ADR"	"TSCDY"	"660894"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"20,280"	"USD"	"1,84"	""	"Non"
"TESSERA TECHNOLOGIES INC"	"TSRA"	"660902"	"Actions ordinaires"	"315"	"18,390"	"18,400"	"18,400"	"USD"	"n/d"	""	"Non"
"TEST"	"TTT"	"test"	"Actions de capital"	"MAN"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"TEVA PHARMACEUTICAL ADR"	"TEVA"	"660900"	"Actions ordinaires"	"3158000"	"57,070"	"57,080"	"57,080"	"USD"	"1,10"	""	"Non"
"TEXACO CAP LLC DFD PFD-C"	"TXC.PR.C"	"661504"	"Actions privilégiées"	"310"	"47,260"	"47,280"	"47,270"	"CAD"	"n/d"	""	"Non"
"TEXALTA PETE LTD CL-A"	"TEX.A"	"661550"	"Actions ordinaires"	"330"	"0,550"	"0,570"	"0,560"	"CAD"	"n/d"	""	"Non"
"TEXAS INSTRUMENTS INC"	"TXN"	"662403"	"Actions ordinaires"	"315"	"23,700"	"23,720"	"23,690"	"USD"	"2,03"	""	"Non"
"THAI FUND INC."	"TTF"	"663900"	"Actions ordinaires"	"3308015"	"8,650"	"8,680"	"8,670"	"USD"	"4,29"	""	"Non"
"THALLION PHARMACEUT-NEW"	"TLN"	"664809"	"Actions ordinaires"	"330"	"0,170"	"0,190"	"0,170"	"CAD"	"n/d"	""	"Non"
"THERATECH INC UTAH"	"THRT"	"663931"	"Actions ordinaires"	"315"	"16,250"	"16,250"	"16,250"	"USD"	"n/d"	""	"Non"
"THERATECHNOLOGIES INC"	"TH"	"663928"	"Actions ordinaires"	"330"	"4,760"	"4,770"	"4,770"	"CAD"	"n/d"	""	"Non"
"THERML CNT CV SB8%19DC02*"	""	"X10175"	"Obligations (autres)"	"2606000"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	"n/d"	"Non"
"THETFORD ICS 3% 28OC10"	""	"Q76291"	"Obligations municipales & para-gouvernementales"	"2601411"	"101,278"	"101,278"	"101,278"	"CAD"	"2,96"	"1,293043"	"Non"
"THETFORD ICS 4.05% 28OC13"	""	"Q76294"	"Obligations municipales & para-gouvernementales"	"2601411"	"103,789"	"103,789"	"103,789"	"CAD"	"3,90"	"2,975128"	"Non"
"THIRTY-FIVE SPLIT CRP CAP"	"TFS"	"664498"	"Actions ordinaires"	"3308005"	"58,650"	"58,910"	"58,750"	"CAD"	"n/d"	""	"Non"
"THIRTY-FIVE SPLIT CRP PFD"	"TFS.PR.A"	"664467"	"Actions privilégiées"	"3108005"	"24,980"	"25,090"	"24,980"	"CAD"	"5,10"	""	"Non"
"THISTLE MINING INC"	"THTLF"	"664511"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"THOMPSON CREEK METALS CO"	"TCM"	"664558"	"Actions ordinaires"	"315"	"13,310"	"13,350"	"13,350"	"CAD"	"n/d"	""	"Non"
"THOMSON REUT 6% 31MR16"	""	"X10233"	"Obligations corporatives"	"2606000"	"112,168"	"112,168"	"112,168"	"CAD"	"5,35"	"3,772569"	"Non"
"THOMSON REUT 6.85% 1JN1*"	""	"X10202"	"Obligations corporatives"	"2606000"	"108,492"	"108,492"	"108,492"	"CAD"	"6,31"	"0,523323"	"Non"
"THOMSON REUT CB5.2% 1DC14"	""	"X10222"	"Obligations corporatives"	"2606000"	"109,706"	"109,706"	"109,706"	"CAD"	"4,74"	"3,031559"	"Non"
"THOMSON REUTERS CORP"	"TRI"	"665425"	"Actions ordinaires"	"315"	"34,160"	"34,250"	"34,220"	"CAD"	"3,46"	""	"Non"
"THORNBURG MORTGAGE INC *"	"TMA"	"665511"	"Actions ordinaires"	"3158008"	"0,220"	"0,310"	"0,280"	"USD"	"357,14"	""	"Non"
"THREEGOLD RES INC"	"THG"	"665835"	"Actions ordinaires"	"330"	"0,160"	"0,165"	"0,160"	"CAD"	"n/d"	""	"Non"
"THUNDER ENERGY TR T/U *"	"THY.UN"	"666683"	"Fiducies de redevances"	"3308001"	"3,990"	"4,000"	"3,990"	"CAD"	"0,00"	""	"Non"
"THUNDERMIN RES INC"	"THR"	"666677"	"Actions ordinaires"	"330"	"0,145"	"0,160"	"0,155"	"CAD"	"n/d"	""	"Non"
"TIBCO SOFTWARE INC"	"TIBX"	"652857"	"Actions ordinaires"	"315"	"9,200"	"9,210"	"9,200"	"USD"	"n/d"	""	"Non"
"TIER TECHS INC -B-"	"TIER"	"667866"	"Actions ordinaires"	"330"	"7,590"	"7,610"	"7,610"	"USD"	"n/d"	""	"Non"
"TIFFANY RES INC"	""	"667856"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"TIM HORTONS INC"	"THI"	"659208"	"Actions ordinaires"	"315"	"30,350"	"30,430"	"30,350"	"CAD"	"1,32"	""	"Non"
"TIMBER EX-14 CV 9% 11FV14"	"TWF.DB"	"X10477"	"Obligations (autres)"	"2756000"	"145,230"	"149,000"	"148,360"	"CAD"	"6,07"	"0,000000"	"Non"
"TIMBERLAND COMPANY -A-"	"TBL"	"668031"	"Actions ordinaires"	"315"	"16,630"	"16,640"	"16,640"	"USD"	"n/d"	""	"Non"
"TIMBERWEST TIMBER T/U*"	""	"668043"	"Actions ordinaires"	"330"	"12,400"	"12,500"	"12,400"	"CAD"	"8,69"	""	"Non"
"TIME WARN 8.75% 10JA15*"	""	"X10428"	"Obligations à escompte (autres)"	"2606000"	"103,750"	"103,750"	"103,750"	"USD"	"n/d"	"0,000000"	"Non"
"TIME WARNER CABLE INC"	"TWC"	"668117"	"Actions ordinaires"	"315"	"44,740"	"44,770"	"44,740"	"USD"	"n/d"	""	"Non"
"TIME WARNER INC-NEW"	"TWX"	"668118"	"Actions ordinaires"	"315"	"27,430"	"27,440"	"27,410"	"USD"	"n/d"	""	"Non"
"TIMMINCO LIMITED"	"TIM"	"668154"	"Actions ordinaires"	"315"	"1,260"	"1,270"	"1,260"	"CAD"	"n/d"	""	"Non"
"TIOMIN RESOURCES INC"	"TIO"	"668370"	"Actions ordinaires"	"330"	"0,035"	"0,040"	"0,035"	"CAD"	"n/d"	""	"Non"
"TITANIUM CORPORATION INC"	"TIC"	"669104"	"Actions ordinaires"	"330"	"0,520"	"0,550"	"0,510"	"CAD"	"n/d"	""	"Non"
"Titre non défini"	"Ndef"	""	"Autres titres"	""	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"TJX COMPANIES INC"	"TJX"	"652667"	"Actions ordinaires"	"315"	"37,020"	"37,050"	"37,010"	"USD"	"1,30"	""	"Non"
"TLC VISION CORP"	"TLC"	"652781"	"Actions ordinaires"	"315"	"0,000"	"0,000"	"0,040"	"USD"	"n/d"	""	"Non"
"TMM INC"	"TMMI"	"652752"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,015"	"USD"	"n/d"	""	"Non"
"TMP BRIC CC /N"	"TML1076"	"961768"	"Fonds d'actions internationales"	"3807310"	"16,770"	"16,770"	"16,770"	"CAD"	"4,22"	""	"Non"
"TMP BRIC CC /S/N"	"TML1078"	"961770"	"Fonds d'actions internationales"	"3807310"	"16,770"	"16,770"	"16,770"	"CAD"	"4,22"	""	"Non"
"TMP CROIS U$ /S/N"	"TML102"	"997591"	"Fonds d'actions globales"	"3807500"	"8,750"	"8,750"	"8,750"	"USD"	"n/d"	""	"Non"
"TMPL DEV MKT TST ADV"	""	"998205"	"Autres titres"	"330"	"0,000"	"0,000"	"25,540"	"USD"	"n/d"	""	"Non"
"TMS INC"	"TMSS"	"652697"	"Actions ordinaires"	"330"	"0,160"	"0,250"	"0,000"	"USD"	"n/d"	""	"Non"
"TNC CPG 4% 11MR11A"	""	"V95684"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,00"	"4,000000"	"Non"
"TNC CPG 5% 10OC12A"	""	"V94395"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"5,00"	"5,000000"	"Non"
"TNC CPG 4.7% 30MI13A"	""	"V96509"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,70"	"4,700000"	"Non"
"TNC CPG 4.8% 25SP12A"	""	"V94133"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,80"	"4,800000"	"Non"
"TNC CPG 4.8% 31MI12A"	""	"V93209"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,80"	"4,800000"	"Non"
"TNC CPG 4.82% 1JN12A"	""	"V93231"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,82"	"4,820000"	"Non"
"TNC CPG 4.9% 1NV12A"	""	"V94604"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,90"	"4,900000"	"Non"
"TNC CPG 3.25% 25SP14A"	""	"V92193"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"3,25"	"3,250000"	"Non"
"TNC CPG 4.05% 10JA11A"	""	"V92124"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,05"	"4,050000"	"Non"
"TNC CPG 4.21% 3AV12A"	""	"V92837"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,21"	"4,210000"	"Non"
"TNC CPG 4.45% 11MR13A"	""	"V95688"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,45"	"4,450000"	"Non"
"TNC CPG 4.52% 15MI13A"	""	"V96337"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,52"	"4,520000"	"Non"
"TNC CPG 4.56% 8MI13A"	""	"V96266"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,56"	"4,560000"	"Non"
"TNC CPG 4.56% 10JN13A"	""	"V96607"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,56"	"4,560000"	"Non"
"TNC CPG 4.56% 21MI13A"	""	"V96382"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,56"	"4,560000"	"Non"
"TNC CPG 4.61% 8NV11S"	""	"V94684"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,61"	"4,610000"	"Non"
"TNC CPG 4.66% 20SP10A"	""	"V94066"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,66"	"4,660000"	"Non"
"TNC CPG 4.7% 21OC13CA"	""	"V97890"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,70"	"4,700000"	"Non"
"TNC CPG 4.71% 29AV13A"	""	"V96171"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,71"	"4,710000"	"Non"
"TNC CPG 4.76% 4JL13A"	""	"V96994"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,76"	"4,760000"	"Non"
"TNC CPG 4.81% 15NV12A"	""	"V94745"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,81"	"4,810000"	"Non"
"TNC CPG 4.83% 20JN13A"	""	"V96847"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,83"	"4,830000"	"Non"
"TNC CPG 4.85% 14SP12A"	""	"V93988"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,85"	"4,850000"	"Non"
"TNC CPG 4.9% 2NV12CA"	""	"V94625"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"100,000"	"CAD"	"4,90"	"4,900000"	"Non"
"TNC CPG 4.95% 9OC12A"	""	"V94375"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,95"	"4,950000"	"Non"
"TNC CPG 4.56% 10JN13CA"	""	"V96609"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,56"	"4,560000"	"Non"
"TNC CPG 4.56% 21MI13CA"	""	"V96374"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"100,000"	"CAD"	"4,56"	"4,560000"	"Non"
"TNC CPG 4.76% 3JL13CA"	""	"V96979"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,76"	"4,760000"	"Non"
"TNC CPG 4.76% 4JL13CA"	""	"V96995"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,76"	"4,760000"	"Non"
"TNC CPG 5.09% 13JN12A"	""	"V93349"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"5,09"	"5,090000"	"Non"
"TNC CPG NEG 4% 17JN14A"	""	"V99654"	"Certificats de dépôt"	"2204010"	"0,000"	"100,600"	"0,000"	"CAD"	"3,98"	"4,000000"	"Non"
"TNC GIC 4.36% 19MR13A"	""	"V95775"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,36"	"4,360000"	"Non"
"TNC GIC 4.4% 13MR13CA"	""	"V95725"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"100,000"	"CAD"	"4,40"	"4,400000"	"Non"
"TNC GIC 4.41% 14MR13A"	""	"V95738"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,41"	"4,410000"	"Non"
"TNT N V SPN ADR"	"TNT"	"652888"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"28,910"	"USD"	"n/d"	""	"Non"
"TOKIO MARINE HOLDINGS ADR"	"TKOMY"	"669801"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"28,350"	"USD"	"n/d"	""	"Non"
"TOLL BROTHERS INC"	"TOL"	"670122"	"Actions ordinaires"	"315"	"18,130"	"18,150"	"18,150"	"USD"	"n/d"	""	"Non"
"TONKO DEV CORP *"	""	"670772"	"Actions ordinaires"	"330"	"0,405"	"0,420"	"0,410"	"CAD"	"n/d"	""	"Non"
"TONKO DEVELOPMENT CORP *"	""	"670774"	"Actions ordinaires"	"330"	"4,100"	"4,100"	"0,000"	"CAD"	"n/d"	""	"Non"
"TOP 10 CANADIAN FINL PAR"	"TCT.UN"	"671149"	"Fiducies de redevances"	"3308001"	"10,060"	"10,100"	"10,050"	"CAD"	"8,04"	""	"Non"
"TOP 10 SPLIT TRUST PART"	"TXT.UN"	"671152"	"Fiducies de redevances"	"3308001"	"3,400"	"3,800"	"3,410"	"CAD"	"8,82"	""	"Non"
"TOP 10 SPLIT TRUST PFD"	"TXT.PR.A"	"671163"	"Actions privilégiées"	"3108005"	"12,750"	"12,800"	"12,700"	"CAD"	"6,15"	""	"Non"
"TOR DOM CB11 4.317%18JA16"	""	"X11276"	"Obligations corporatives"	"2602230"	"102,978"	"102,978"	"102,978"	"CAD"	"4,19"	"3,756257"	"Non"
"TOROMONT INDUSTRIES LTD"	"TIH"	"671552"	"Actions ordinaires"	"330"	"27,340"	"27,400"	"27,340"	"CAD"	"2,19"	""	"Non"
"TORONTO 5.05% 18JL17"	""	"E34566"	"Obligations municipales & para-gouvernementales"	"2601411"	"107,454"	"107,454"	"107,454"	"CAD"	"4,70"	"3,891754"	"Non"
"TORONTO 5.125% 25SP13"	""	"E34360"	"Obligations municipales & para-gouvernementales"	"2601411"	"108,251"	"108,251"	"108,251"	"CAD"	"4,73"	"2,740998"	"Non"
"TORSTAR CORP CL-B NV"	"TS.B"	"673600"	"Actions ordinaires"	"330"	"6,550"	"6,840"	"6,570"	"CAD"	"5,63"	""	"Non"
"TORVALON CORP"	""	"673637"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"TOTAL ENERGY SERVICES INC"	"TOT"	"673838"	"Actions ordinaires"	"330"	"7,050"	"7,140"	"7,050"	"CAD"	"1,70"	""	"Non"
"TOTAL ENERGY SVCS T/U *"	"TOT.UN"	"673837"	"Fiducies de redevances"	"3308001"	"4,710"	"4,750"	"4,750"	"CAD"	"7,58"	""	"Non"
"TOTAL RETURN FND"	""	"997649"	"Fonds d'investissement"	"3807150"	"4,540"	"4,540"	"4,540"	"CAD"	"n/d"	""	"Non"
"TOTAL S.A.SP ADR"	"TOT"	"673786"	"Actions ordinaires"	"3158000"	"60,430"	"60,460"	"60,420"	"USD"	"5,61"	""	"Non"
"TOTAL TELCOM INC"	"TTZ"	"673792"	"Actions ordinaires"	"330"	"0,100"	"0,110"	"0,100"	"CAD"	"n/d"	""	"Non"
"TOTALLY HIP SOFTWARE INC*"	"THW"	"673811"	"Actions ordinaires"	"330"	"0,020"	"0,030"	"0,020"	"CAD"	"n/d"	""	"Non"
"TOTALLY HIP TECHNOLOGIES"	"THP"	"673818"	"Actions ordinaires"	"330"	"0,150"	"0,250"	"0,150"	"CAD"	"n/d"	""	"Non"
"TOTO LTD ADR"	"TOTDY"	"673861"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"68,600"	"USD"	"1,77"	""	"Non"
"TOUSA INC"	"TOA"	"673964"	"Actions ordinaires"	"315"	"0,000"	"0,000"	"0,016"	"USD"	"n/d"	""	"Non"
"TOWER SEMICONDUCTOR LTD"	"TSEM"	"674291"	"Actions ordinaires"	"330"	"1,190"	"1,200"	"1,190"	"USD"	"n/d"	""	"Non"
"TOYOTA MOTOR CO LTD ADR"	"TM"	"674649"	"Actions ordinaires"	"3158000"	"87,630"	"87,660"	"87,710"	"USD"	"1,05"	""	"Non"
"TOYOTA MTR JPY0.55%30JN10"	""	"X15180"	"Obligations (autres)"	"2606000"	"1,174"	"1,174"	"1,174"	"CAD"	"0,00"	"0,000000"	"Non"
"TRADE WINDS VENTURES INC"	"TWD"	"674731"	"Actions ordinaires"	"330"	"0,130"	"0,140"	"0,140"	"CAD"	"n/d"	""	"Non"
"TRANS CDA PPL 5.05%20AU13"	""	"X16591"	"Obligations (autres)"	"2606000"	"108,350"	"108,350"	"108,350"	"CAD"	"4,66"	"2,586198"	"Non"
"TRANS HEX GROUP LIMITED"	""	"677321"	"Actions ordinaires"	"330"	"0,583"	"0,583"	"0,583"	"CAD"	"17,15"	""	"Non"
"TRANS WORLD AIRLS"	"TWAIQ"	"680456"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,002"	"USD"	"n/d"	""	"Non"
"TRANS-GLOBAL CAP MGMT INC"	"TGCM"	"677314"	"Actions ordinaires"	"330"	"0,070"	"0,510"	"0,070"	"USD"	"0,00"	""	"Non"
"TRANSALT 7.3% 22OC29"	""	"X15404"	"Obligations corporatives"	"2606000"	"93,190"	"93,190"	"93,190"	"CAD"	"7,83"	"7,989550"	"Non"
"TRANSALTA CORP"	"TA"	"677200"	"Actions ordinaires"	"315"	"22,750"	"22,850"	"22,850"	"CAD"	"5,08"	""	"Non"
"TRANSALTA CP 7.5% COPRS"	"TA.PR.A"	"677312"	"Actions privilégiées"	"3108003"	"25,160"	"25,220"	"25,160"	"CAD"	"7,45"	""	"Non"
"TRANSALTA CP 7.75% COPRS*"	"TA.PR.C"	"677335"	"Obligations corporatives"	"3108003"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	"n/d"	"Non"
"TRANSALTA POWER LPU *"	"TPW.UN"	"677333"	"Fiducies de redevances"	"3308002"	"8,360"	"8,380"	"8,380"	"CAD"	"0,00"	""	"Non"
"TRANSALTA-8.15% PFD COPRS"	"TA.PR.B"	"677201"	"Actions privilégiées"	"3108003"	"25,200"	"25,260"	"25,210"	"CAD"	"8,08"	""	"Non"
"TRANSAT A.T. INC VS-B-"	"TRZ.B"	"677469"	"Actions ordinaires"	"330"	"22,290"	"22,300"	"22,300"	"CAD"	"1,61"	""	"Non"
"TRANSCANADA CORP"	"TRP"	"679010"	"Actions ordinaires"	"315"	"34,900"	"34,950"	"34,900"	"CAD"	"4,36"	""	"Non"
"TRANSCANADA POWER LPU-BE*"	"TPL.UN"	"678622"	"Actions ordinaires"	"3308002"	"37,050"	"37,090"	"37,080"	"CAD"	"6,80"	""	"Non"
"TRANSCDA CP4.6% 1ST-S1 PF"	"TRP.PR.A"	"678638"	"Actions privilégiées"	"310"	"26,050"	"26,080"	"26,000"	"CAD"	"4,46"	""	"Non"
"TRANSCDA GAS PROCESS-LPU*"	""	"678280"	"Actions ordinaires"	"330"	"20,550"	"20,550"	"20,550"	"CAD"	"0,00"	""	"Non"
"TRANSCDA POWER LPU-TEMP"	""	"678626"	"Actions ordinaires"	"3308002"	"24,700"	"24,700"	"24,700"	"CAD"	"0,00"	""	"Non"
"TRANSCDA PPL 5.65% 15JA14"	""	"X16570"	"Obligations corporatives"	"2606000"	"110,938"	"110,938"	"110,938"	"CAD"	"5,09"	"2,725754"	"Non"
"TRANSCDA PPLN 2ND PFD-B *"	""	"678633"	"Actions privilégiées"	"310"	"18,250"	"18,250"	"18,250"	"CAD"	"6,85"	""	"Non"
"TRANSCDA PPLN 6.28%26MY28"	""	"X16577"	"Obligations corporatives"	"2606000"	"107,343"	"107,343"	"107,343"	"CAD"	"5,85"	"5,631760"	"Non"
"TRANSCDA PPLNS 1ST PFD-U"	"TCA.PR.X"	"678612"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"48,850"	"48,970"	"48,870"	"CAD"	"5,73"	""	"Non"
"TRANSCDA PPLNS 1ST PFD-Y"	"TCA.PR.Y"	"678637"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"48,700"	"48,750"	"48,750"	"CAD"	"5,74"	""	"Non"
"TRANSCONTINENTAL CL-A SV"	"TCL.A"	"679175"	"Actions ordinaires"	"330"	"13,000"	"13,440"	"13,060"	"CAD"	"2,45"	""	"Non"
"TRANSCONTINENTAL INC-B MV"	"TCL.B"	"679176"	"Actions ordinaires"	"330"	"12,760"	"13,950"	"12,760"	"CAD"	"2,51"	""	"Non"
"TRANSCONTINENTAL-D 1ST PF"	"TCL.PR.D"	"678613"	"Actions privilégiées"	"310"	"24,980"	"25,000"	"25,000"	"CAD"	"7,77"	""	"Non"
"TRANSFORCE INC"	"TFI"	"679078"	"Actions ordinaires"	"315"	"8,050"	"8,110"	"8,080"	"CAD"	"4,95"	""	"Non"
"TRANSGLOBE ENERGY CORP"	"TGL"	"679466"	"Actions ordinaires"	"315"	"3,660"	"3,780"	"3,740"	"CAD"	"n/d"	""	"Non"
"TRANSMETA CORP *"	"TMTA"	"679896"	"Actions ordinaires"	"330"	"0,402"	"0,410"	"0,410"	"USD"	"n/d"	""	"Non"
"TRANSOCEAN LTD"	"RIG"	"679988"	"Actions ordinaires"	"315"	"87,140"	"87,150"	"87,130"	"USD"	"n/d"	""	"Non"
"TRANSOCEAN OFFSHORE INC"	""	"679982"	"Actions ordinaires"	"315"	"22,937"	"22,937"	"22,937"	"USD"	"0,00"	""	"Non"
"TRANSOCEAN OFFSHORE INC*"	""	"679983"	"Actions ordinaires"	"330"	"46,125"	"46,125"	"0,000"	"USD"	"0,00"	""	"Non"
"TRANSPACIFIC RES INC"	""	"680110"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"TRAVELBYUS.COM LTD EXCHBL"	""	"680553"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"TRAVELERS COMPANIES INC"	"TRV"	"680546"	"Actions ordinaires"	"315"	"48,890"	"48,900"	"48,890"	"USD"	"2,70"	""	"Non"
"TREDEGAR CORPORATION"	"TG"	"680818"	"Actions ordinaires"	"315"	"15,710"	"15,730"	"15,740"	"USD"	"1,02"	""	"Non"
"TREE ISL WIRE INCM FD T/U"	"TIL.UN"	"680847"	"Fiducies de redevances"	"3308001"	"0,470"	"0,500"	"0,495"	"CAD"	"101,01"	""	"Non"
"TREMONT CAP OPPORTNTY T/*"	"TT.UN"	"680904"	"Placements Alternatifs"	"3308001"	"10,830"	"10,980"	"10,860"	"CAD"	"n/d"	""	"Non"
"TRI CAT DIS CDN/FR/N"	"AIM325"	"979308"	"Fonds d'actions canadiennes"	"3807154"	"8,412"	"8,412"	"8,412"	"CAD"	"1,50"	""	"Non"
"TRI CAT DIST CDN/S/N"	"AIM321"	"993480"	"Fonds d'actions canadiennes"	"3807154"	"8,412"	"8,412"	"8,412"	"CAD"	"1,50"	""	"Non"
"TRI CAT TECH MDL/S/N"	"AIM661"	"984450"	"Autres titres"	"3807170"	"1,844"	"1,844"	"1,844"	"CAD"	"0,00"	""	"Non"
"TRI CDN /S/N"	"AIM1521"	"981366"	"Fonds d'actions canadiennes"	"3807154"	"20,492"	"20,492"	"20,492"	"CAD"	"0,39"	""	"Non"
"TRI CDN /FR/S/N"	"AIM1525"	"988817"	"Fonds d'actions canadiennes"	"3807154"	"20,492"	"20,492"	"20,492"	"CAD"	"0,39"	""	"Non"
"TRI CDN-SC /N"	"AIM1523"	"997600"	"Fonds d'actions canadiennes"	"3807154"	"19,184"	"19,184"	"19,184"	"CAD"	"0,11"	""	"Non"
"TRI CONTINENTAL CORP"	"TY"	"681932"	"Fonds à capitalisation fermée: Actions"	"3308015"	"11,320"	"11,330"	"11,330"	"USD"	"1,73"	""	"Non"
"TRI CRS REV /S/N"	"AIM1541"	"981377"	"Fonds de placement équilibré"	"3807155"	"10,240"	"10,240"	"10,240"	"CAD"	"0,77"	""	"Non"
"TRI CRS REV SER-A /N"	"AIM6543"	"926902"	"Fonds de placement équilibré"	"3807155"	"10,240"	"10,240"	"10,240"	"CAD"	"0,77"	""	"Non"
"TRI CRS REV-SC /N"	"AIM1543"	"997604"	"Fonds d'actions canadiennes"	"3807155"	"9,862"	"9,862"	"9,862"	"CAD"	"1,53"	""	"Non"
"TRI CRS SEL /S"	"AIM1561C"	"997625"	"Fonds d'actions globales"	"3807500"	"11,803"	"11,803"	"11,803"	"CAD"	"n/d"	""	"Non"
"TRI CRS SEL /S/N"	"AIM1561"	"997626"	"Fonds d'actions globales"	"3807500"	"11,937"	"11,937"	"11,937"	"CAD"	"n/d"	""	"Non"
"TRI CRS SEL /FR/S/N"	"AIM1565"	"988323"	"Fonds d'actions globales"	"3807500"	"11,937"	"11,937"	"11,937"	"CAD"	"1,04"	""	"Non"
